person_id,incident_id,date,sex,race,age,body,hair,complexion,origin,clothing
100007166,F150007308,10/12/15,Male,Black,26,,,,,
100007167,F150007308,10/12/15,Female,Black,23,,,,,
100007164,F150007307,10/13/15,Male,Black,24,Medium,,,Not of Hispanic Origin,"BLACK JACKET, BLUE JEANS"
100007165,F150007307,10/13/15,Male,Black,24,Small,Braids,Dark,,WHITE T SHIRT BLUE JEANS
100007505,F150007389,10/13/15,Male,Black,23,Medium,,Dark Brown,Not of Hispanic Origin,RED T-SHIRT/ BLACK PANTS
100007246,F150007376,10/13/15,Male,Black,32,Medium,Short,Dark Brown,,"GRAY AND ORANGE BASEBALL CAP, ORANGE JACKET. BLUE JEANS"
100007248,F150007362,10/13/15,Male,Black,23,,,,,"DARK COLORED FITTED HAT, VEST WITH A HOOD, BLUE AND WHITE STRIPED SWEATER UNDER VEST, DARK COLORED JEANS."
100007245,F150007365,10/13/15,Male,Black,18,Thin,Braids,Dark,Not of Hispanic Origin,"CORNROWS, BLACK HOODED ""NORTH FACE SWEATSHIRT"", BLACK PANTS"
100007677,F150007774,10/13/15,Male,Black,29,Medium,Short,Medium Brown,,"BLUE SHIRT, BLUE JEANS"
100007673,F150007775,10/13/15,Male,Black,19,Thin,,Dark Brown,Not of Hispanic Origin,"WHITE T-SHIRT, BROWN PANTS"
100007247,F150007375,10/13/15,Male,Black,22,,,,,"WHITE T-SHIRT, BLACK SWEAT PANTS, WHITE SNEAKERS"
100007249,F150007386,10/14/15,Male,Black,22,,,,,LONG SLEEVE RED SHIRT
100007699,F150007387,10/14/15,Male,Black,18,Stocky,,Dark Brown,,"RED HOODIE, ACID WASH FADED JEANS, WHITE SNEAKERS, WHITE HAT UNDER HOODIE"
100007700,F150007387,10/14/15,Male,Black,20,Medium,,Dark,Not of Hispanic Origin,"PLUM HOODIE, RED SWEATPANTS, BLACK/WHITE SNEAKERS, BLACK/GREEN HAT UNDER HOOD"
100005265,F150005459,7/8/15,Male,Black,31,Medium,Long,Dark,,"WHITE SHIRT, BLACK SHORTS, BLACK SNEAKERS"
100004807,F150005132,7/8/15,Male,Black,32,,,Medium,,
100017168,F160014982,7/8/15,Female,Unknown,19,,,Medium,Unknown,MULTI COLORED DRESS
100017172,F160014984,7/8/15,Female,Black,20,,,Light,Unknown,"BLACK SHIRT; BLUE SHORTSCAPE VERDEAN"
100004757,F150004865,7/8/15,Male,Black,21,,Braids,Medium Brown,,"BRACES, WHITE TSHIRT, BLK PANTS, WHITE SNEAKERS"
100003282,F150004027,7/9/15,Male,White,23,Thin,Short,,Unknown,"T-SHIRT, SHORTS"
100003283,F150004027,7/9/15,Male,White,31,Medium,Short,,,"T-SHIRT, JEANS"
100003284,F150004027,7/9/15,Female,White,28,Thin,Long,,,"WHITE SHIRT, GRAY PANTS"
100003281,F150004026,7/9/15,Male,White,,,Short,,,"T-SHIRT, SHORTS, CARRYING BAG"
100003285,F150004030,7/9/15,Female,Black,48,Medium,Straight,Medium,,
100003286,F150004036,7/9/15,Male,White,22,Small,Braids,Light Brown,,COULD NOT SEE CLOTHING CLEARLY THROUGH TINTED WINDOWS ON VEHICLE.
100011222,F150010600,7/9/15,Male,Black,18,,Bald,Light,,"BLUE HAT, WHITE T SHIRT"
100011323,F150010688,7/9/15,Male,Black,19,,,Medium,,
100011236,F150010604,7/9/15,Male,Black,44,,,,,
100010605,F150010160,7/9/15,Male,Black,20,,,Medium,,
100010606,F150010161,7/9/15,Male,Black,25,,,Medium,,
100003631,F150004335,7/9/15,Male,Black,26,,,Medium,,"WHITE T, BLACK PANTS, BLUE/BLACK SNEAKERS"
100011321,F150010686,7/9/15,Male,Black,23,,,Dark,,"RED HAT, WHITE SHIRT, GREY PANTS"
100009445,F150009260,7/9/15,Male,Black,24,,,,,"WHITE TSHIRT, BLK PANTS, MUSTACHE"
100006842,F150006983,10/6/15,Male,Unknown,30,,,Dark,,"BLK HOODY, BLUE JEANS, BLK SNEAKERS"
100006843,F150006990,10/6/15,Male,Black,25,,,Light,,"RED HOODY, BLK PANTS, WHITE SNEAKERS"
100006872,F150006985,10/6/15,Male,Unknown,17,,,,Unknown,"GREY KNIT, WHITE TSHIRT, BROWN PANTS"
