date,sex,race,age,city,suspicion,action
2013-01-01,male,black,21,South Boston,Reasonable Suspicion,stopped
2013-01-01,male,black,31,Roxbury,Reasonable Suspicion,stopped
2013-01-01,male,hispanic,33,Boston,Probable Cause,stopped
2013-01-01,male,black,55,Dorchester,Probable Cause,observed
2013-01-01,female,black,24,East Boston,Reasonable Suspicion,stopped
2013-01-01,male,black,39,Dorchester,Reasonable Suspicion,stopped
2013-01-01,male,black,27,Mattapan,Consented to be Search,stopped
2013-01-01,female,white,50,Charlestown,Probable Cause,stopped
2013-01-01,male,black,21,Roxbury,Probable Cause,stopped
2013-01-01,male,black,26,Hyde Park,Consented to be Search,stopped
2013-01-01,male,black,29,Boston,Probable Cause,stopped
2013-01-01,male,white,46,Boston,Probable Cause,stopped
2013-01-01,male,white,47,Boston,Probable Cause,stopped
2013-01-01,female,black,36,Dorchester,Probable Cause,stopped
2013-01-02,male,black,18,Roxbury,Reasonable Suspicion,stopped
2013-01-02,male,white,47,Boston,Probable Cause,stopped
2013-01-02,female,white,28,Charlestown,Probable Cause,stopped
2013-01-02,female,black,23,Dorchester,Probable Cause,stopped
2013-01-02,male,black,21,Dorchester,Probable Cause,stopped
2013-01-02,male,black,30,Hyde Park,Probable Cause,stopped
2013-01-02,male,black,27,Dorchester,Reasonable Suspicion,observed
2013-01-02,male,black,25,Dorchester,Probable Cause,stopped
2013-01-03,male,black,45,Roxbury,Reasonable Suspicion,stopped
2013-01-03,male,black,24,Hyde Park,Probable Cause,stopped
2013-01-03,male,black,39,Roxbury,Probable Cause,stopped
2013-01-03,female,black,29,Dorchester,Probable Cause,stopped
2013-01-03,male,black,41,Roxbury,Consented to be Search,stopped
2013-01-03,male,black,36,Dorchester,Probable Cause,stopped
2013-01-03,male,black,56,Mattapan,Reasonable Suspicion,observed
2013-01-03,male,white,37,Charlestown,Probable Cause,observed
2013-01-03,male,black,23,Roxbury,Probable Cause,stopped
2013-01-03,male,black,47,Boston,Probable Cause,stopped
2013-01-03,male,black,54,Dorchester,Reasonable Suspicion,observed
2013-01-04,male,black,38,Dorchester,Probable Cause,stopped
2013-01-04,male,white,32,Boston,Probable Cause,stopped
2013-01-04,male,black,30,South Boston,Reasonable Suspicion,stopped
2013-01-04,male,black,22,Roxbury,Probable Cause,stopped
2013-01-04,male,black,25,Roxbury,Probable Cause,stopped
2013-01-04,female,white,24,North End,Reasonable Suspicion,observed
2013-01-04,male,hispanic,30,Dorchester,Probable Cause,stopped
2013-01-04,male,black,22,East Boston,Probable Cause,stopped
2013-01-04,male,white,55,Boston,Probable Cause,stopped
2013-01-04,male,white,50,Charlestown,Probable Cause,observed
2013-01-05,male,hispanic,39,Roxbury,Reasonable Suspicion,stopped
2013-01-05,male,asian,28,Boston,Probable Cause,stopped
2013-01-05,male,asian,21,Dorchester,Probable Cause,stopped
2013-01-05,male,black,47,South Boston,Reasonable Suspicion,stopped
2013-01-05,male,black,42,Boston,Reasonable Suspicion,stopped
2013-01-05,female,white,31,Dorchester,Probable Cause,stopped
