date,sex,race,age,city,suspicion,action
2014-01-01,male,white,27,Boston,Probable Cause,stopped
2014-01-01,female,white,24,Boston,Probable Cause,stopped
2014-01-01,male,white,33,Dorchester,Reasonable Suspicion,stopped
2014-01-01,male,black,22,Dorchester,Probable Cause,stopped
2014-01-01,male,white,49,Boston,Reasonable Suspicion,stopped
2014-01-01,male,white,34,Dorchester,Reasonable Suspicion,stopped
2014-01-01,male,white,33,Dorchester,Reasonable Suspicion,stopped
2014-01-02,male,white,26,Boston,Probable Cause,stopped
2014-01-02,male,black,22,Roxbury,Probable Cause,stopped
2014-01-02,male,black,25,Dorchester,Probable Cause,stopped
2014-01-02,male,black,33,Roslindale,Probable Cause,stopped
2014-01-02,male,black,57,Dorchester,Reasonable Suspicion,stopped
2014-01-02,male,black,29,Hyde Park,Probable Cause,stopped
2014-01-02,male,black,47,Roxbury,Probable Cause,stopped
2014-01-02,male,black,23,Roxbury,Probable Cause,stopped
2014-01-02,male,hispanic,22,Roslindale,Probable Cause,stopped
2014-01-02,male,hispanic,36,Roslindale,Probable Cause,stopped
2014-01-02,male,black,51,Roxbury,Probable Cause,stopped
2014-01-03,male,black,25,Roxbury,Probable Cause,stopped
2014-01-04,male,hispanic,16,Roxbury,Probable Cause,stopped
2014-01-04,male,hispanic,33,East Boston,Reasonable Suspicion,stopped
2014-01-04,male,hispanic,24,Roxbury,Probable Cause,stopped
2014-01-04,female,hispanic,17,Hyde Park,Probable Cause,stopped
2014-01-04,male,black,26,Roxbury,Probable Cause,stopped
2014-01-05,male,black,21,Dorchester,Probable Cause,stopped
2014-01-05,male,hispanic,21,Hyde Park,Probable Cause,stopped
2014-01-05,male,hispanic,21,Hyde Park,Probable Cause,stopped
2014-01-05,female,black,21,Roslindale,Reasonable Suspicion,stopped
2014-01-05,male,black,18,Dorchester,Probable Cause,observed
2014-01-05,male,black,21,Roxbury,Probable Cause,stopped
2014-01-05,male,hispanic,19,Roslindale,Probable Cause,stopped
2014-01-05,male,black,22,Charlestown,Probable Cause,stopped
2014-01-06,male,black,32,Roxbury,Consented to be Search,stopped
2014-01-06,male,black,26,Hyde Park,Probable Cause,stopped
2014-01-06,male,black,40,Jamaica Plain,Reasonable Suspicion,stopped
2014-01-06,female,white,27,Dorchester,Probable Cause,stopped
2014-01-07,male,white,23,Boston,Probable Cause,stopped
2014-01-07,male,black,22,Dorchester,Probable Cause,stopped
2014-01-07,male,hispanic,30,Mattapan,Probable Cause,stopped
2014-01-07,male,hispanic,44,Boston,Probable Cause,stopped
2014-01-07,male,black,20,Roxbury,Probable Cause,stopped
2014-01-07,male,black,31,Boston,Probable Cause,stopped
2014-01-07,male,black,28,Dorchester,Probable Cause,stopped
2014-01-08,male,hispanic,32,Boston,Probable Cause,stopped
2014-01-08,male,black,27,Dorchester,Probable Cause,stopped
2014-01-08,male,white,48,East Boston,Probable Cause,stopped
2014-01-08,male,hispanic,43,Dorchester,Reasonable Suspicion,stopped
2014-01-09,male,black,19,Roxbury,Probable Cause,stopped
2014-01-09,female,hispanic,18,Dorchester,Probable Cause,stopped
2014-01-09,male,black,43,East Boston,Reasonable Suspicion,stopped
2014-01-09,male,hispanic,26,Dorchester,Probable Cause,observed
2014-01-09,male,black,24,Mattapan,Probable Cause,observed
